Index,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted
2007-01-03,1418.030029,1429.420044,1407.859985,1416.599976,3429160000,1416.599976
2007-01-04,1416.599976,1421.839966,1408.430054,1418.339966,3004460000,1418.339966
2007-01-05,1418.339966,1418.339966,1405.75,1409.709961,2919400000,1409.709961
2007-01-08,1409.26001,1414.97998,1403.969971,1412.839966,2763340000,1412.839966
2007-01-09,1412.839966,1415.609985,1405.420044,1412.109985,3038380000,1412.109985
2007-01-10,1408.699951,1415.98999,1405.319946,1414.849976,2764660000,1414.849976
2007-01-11,1414.839966,1427.119995,1414.839966,1423.819946,2857870000,1423.819946
2007-01-12,1423.819946,1431.22998,1422.579956,1430.72998,2686480000,1430.72998
2007-01-16,1430.72998,1433.930054,1428.619995,1431.900024,2599530000,1431.900024
2007-01-17,1431.77002,1435.27002,1428.569946,1430.619995,2690270000,1430.619995
2007-01-18,1430.589966,1432.959961,1424.209961,1426.369995,2822430000,1426.369995
2007-01-19,1426.349976,1431.569946,1425.189941,1430.5,2777480000,1430.5
2007-01-22,1430.469971,1431.390015,1420.400024,1422.949951,2540120000,1422.949951
2007-01-23,1422.949951,1431.329956,1421.660034,1427.98999,2975070000,1427.98999
2007-01-24,1427.959961,1440.140015,1427.959961,1440.130005,2783180000,1440.130005
2007-01-25,1440.119995,1440.689941,1422.339966,1423.900024,2994330000,1423.900024
2007-01-26,1423.900024,1427.27002,1416.959961,1422.180054,2626620000,1422.180054
2007-01-29,1422.030029,1426.939941,1418.459961,1420.619995,2730480000,1420.619995
2007-01-30,1420.609985,1428.819946,1420.609985,1428.819946,2706250000,1428.819946
2007-01-31,1428.650024,1441.609985,1424.780029,1438.23999,2976690000,1438.23999
2007-02-01,1437.900024,1446.640015,1437.900024,1445.939941,2914890000,1445.939941
2007-02-02,1445.939941,1449.329956,1444.48999,1448.390015,2569450000,1448.390015
2007-02-05,1448.329956,1449.380005,1443.849976,1446.98999,2439430000,1446.98999
2007-02-06,1446.97998,1450.189941,1443.400024,1448,2608710000,1448
2007-02-07,1447.410034,1452.98999,1446.439941,1450.02002,2618820000,1450.02002
2007-02-08,1449.98999,1450.449951,1442.810059,1448.310059,2816180000,1448.310059
2007-02-09,1448.25,1452.449951,1433.439941,1438.060059,2951810000,1438.060059
2007-02-12,1438,1439.109985,1431.439941,1433.369995,2395680000,1433.369995
2007-02-13,1433.219971,1444.410034,1433.219971,1444.26001,2652150000,1444.26001
2007-02-14,1443.910034,1457.650024,1443.910034,1455.300049,2699290000,1455.300049
2007-02-15,1455.150024,1457.969971,1453.189941,1456.810059,2490920000,1456.810059
2007-02-16,1456.77002,1456.77002,1451.569946,1455.540039,2399450000,1455.540039
2007-02-20,1455.530029,1460.530029,1449.199951,1459.680054,2337860000,1459.680054
2007-02-21,1459.599976,1459.599976,1452.02002,1457.630005,2606980000,1457.630005
2007-02-22,1457.290039,1461.569946,1450.51001,1456.380005,1950770000,1456.380005
2007-02-23,1456.219971,1456.219971,1448.359985,1451.189941,2579950000,1451.189941
2007-02-26,1451.040039,1456.949951,1445.47998,1449.369995,2822170000,1449.369995
2007-02-27,1449.25,1449.25,1389.420044,1399.040039,4065230000,1399.040039
2007-02-28,1398.640015,1415.890015,1396.650024,1406.819946,3925250000,1406.819946
2007-03-01,1406.800049,1409.459961,1380.869995,1403.170044,3874910000,1403.170044
2007-03-02,1403.160034,1403.400024,1386.869995,1387.170044,3312260000,1387.170044
2007-03-05,1387.109985,1391.859985,1373.969971,1374.119995,3480520000,1374.119995
2007-03-06,1374.060059,1397.900024,1374.060059,1395.410034,3358160000,1395.410034
2007-03-07,1395.02002,1401.160034,1390.640015,1391.969971,3141350000,1391.969971
2007-03-08,1391.880005,1407.930054,1391.880005,1401.890015,3014850000,1401.890015
2007-03-09,1401.890015,1410.150024,1397.300049,1402.839966,2623050000,1402.839966
2007-03-12,1402.800049,1409.339966,1398.400024,1406.599976,2.664e+09,1406.599976
2007-03-13,1406.22998,1406.22998,1377.709961,1377.949951,3485570000,1377.949951
2007-03-14,1377.859985,1388.089966,1363.97998,1387.170044,3758350000,1387.170044
2007-03-15,1387.109985,1395.72998,1385.160034,1392.280029,2821900000,1392.280029
2007-03-16,1392.280029,1397.51001,1383.630005,1386.949951,3393640000,1386.949951
2007-03-19,1386.949951,1403.199951,1386.949951,1402.060059,2777180000,1402.060059
2007-03-20,1402.040039,1411.530029,1400.699951,1410.939941,2795940000,1410.939941
2007-03-21,1410.920044,1437.77002,1409.75,1435.040039,3184770000,1435.040039
2007-03-22,1435.040039,1437.660034,1429.880005,1434.540039,3129970000,1434.540039
2007-03-23,1434.540039,1438.890015,1433.209961,1436.109985,2619020000,1436.109985
2007-03-26,1436.109985,1437.650024,1423.280029,1437.5,2754660000,1437.5
2007-03-27,1437.48999,1437.48999,1425.540039,1428.609985,2673040000,1428.609985
2007-03-28,1428.349976,1428.349976,1414.069946,1417.22998,3000440000,1417.22998
2007-03-29,1417.170044,1426.23999,1413.27002,1422.530029,2854710000,1422.530029
2007-03-30,1422.52002,1429.219971,1408.900024,1420.859985,2903960000,1420.859985
2007-04-02,1420.829956,1425.48999,1416.369995,1424.550049,2875880000,1424.550049
2007-04-03,1424.27002,1440.569946,1424.27002,1437.77002,2921760000,1437.77002
2007-04-04,1437.75,1440.160034,1435.079956,1439.369995,2616320000,1439.369995
2007-04-05,1438.939941,1444.880005,1436.670044,1443.76001,2357230000,1443.76001
2007-04-09,1443.77002,1448.099976,1443.280029,1444.609985,2349410000,1444.609985
2007-04-10,1444.579956,1448.72998,1443.98999,1448.390015,2510110000,1448.390015
2007-04-11,1448.22998,1448.390015,1436.150024,1438.869995,2950190000,1438.869995
2007-04-12,1438.869995,1448.02002,1433.910034,1447.800049,2770570000,1447.800049
2007-04-13,1447.800049,1453.109985,1444.150024,1452.849976,2690020000,1452.849976
2007-04-16,1452.839966,1468.619995,1452.839966,1468.329956,2870140000,1468.329956
2007-04-17,1468.469971,1474.349976,1467.150024,1471.47998,2920570000,1471.47998
2007-04-18,1471.469971,1476.569946,1466.410034,1472.5,2971330000,1472.5
2007-04-19,1472.47998,1474.22998,1464.469971,1470.72998,2913610000,1470.72998
2007-04-20,1470.689941,1484.73999,1470.689941,1484.349976,3329940000,1484.349976
2007-04-23,1484.329956,1487.319946,1480.189941,1480.930054,2575020000,1480.930054
2007-04-24,1480.930054,1483.819946,1473.73999,1480.410034,3119750000,1480.410034
2007-04-25,1480.280029,1496.589966,1480.280029,1495.420044,3252590000,1495.420044
2007-04-26,1495.27002,1498.02002,1491.170044,1494.25,3211800000,1494.25
2007-04-27,1494.209961,1497.319946,1488.670044,1494.069946,2732810000,1494.069946
2007-04-30,1494.069946,1497.160034,1482.290039,1482.369995,3093420000,1482.369995
2007-05-01,1482.369995,1487.27002,1476.699951,1486.300049,3400350000,1486.300049
2007-05-02,1486.130005,1499.099976,1486.130005,1495.920044,3189800000,1495.920044
2007-05-03,1495.560059,1503.339966,1495.560059,1502.390015,3007970000,1502.390015
2007-05-04,1502.349976,1510.339966,1501.800049,1505.619995,2761930000,1505.619995
2007-05-07,1505.569946,1511,1505.540039,1509.47998,2545090000,1509.47998
2007-05-08,1509.359985,1509.359985,1500.660034,1507.719971,2795720000,1507.719971
2007-05-09,1507.319946,1513.800049,1503.77002,1512.579956,2935550000,1512.579956
2007-05-10,1512.329956,1512.329956,1491.420044,1491.469971,3031240000,1491.469971
2007-05-11,1491.469971,1506.23999,1491.469971,1505.849976,2720780000,1505.849976
2007-05-14,1505.76001,1510.900024,1498.339966,1503.150024,2776130000,1503.150024
2007-05-15,1503.109985,1514.829956,1500.430054,1501.189941,3071020000,1501.189941
2007-05-16,1500.75,1514.150024,1500.75,1514.140015,2915350000,1514.140015
2007-05-17,1514.01001,1517.140015,1509.290039,1512.75,2868640000,1512.75
2007-05-18,1512.73999,1522.75,1512.73999,1522.75,2959050000,1522.75
2007-05-21,1522.75,1529.869995,1522.709961,1525.099976,3465360000,1525.099976
2007-05-22,1525.099976,1529.23999,1522.050049,1524.119995,2860500000,1524.119995
2007-05-23,1524.089966,1532.430054,1521.900024,1522.280029,3084260000,1522.280029
2007-05-24,1522.099976,1529.310059,1505.180054,1507.51001,3365530000,1507.51001
2007-05-25,1507.5,1517.410034,1507.5,1515.72998,2316250000,1515.72998
2007-05-29,1515.550049,1521.800049,1512.02002,1518.109985,2571790000,1518.109985
2007-05-30,1517.599976,1530.22998,1510.060059,1530.22998,2980210000,1530.22998
2007-05-31,1530.189941,1535.560059,1528.26001,1530.619995,3335530000,1530.619995
2007-06-01,1530.619995,1540.560059,1530.619995,1536.339966,2927020000,1536.339966
2007-06-04,1536.280029,1540.530029,1532.310059,1539.180054,2738930000,1539.180054
2007-06-05,1539.119995,1539.119995,1525.619995,1530.949951,2939450000,1530.949951
2007-06-06,1530.569946,1530.569946,1514.130005,1517.380005,2964190000,1517.380005
2007-06-07,1517.359985,1517.359985,1490.369995,1490.719971,3538470000,1490.719971
2007-06-08,1490.709961,1507.76001,1487.410034,1507.670044,2993460000,1507.670044
2007-06-11,1507.640015,1515.530029,1503.349976,1509.119995,2525280000,1509.119995
2007-06-12,1509.119995,1511.329956,1492.969971,1493,3056200000,1493
2007-06-13,1492.650024,1515.699951,1492.650024,1515.670044,3077930000,1515.670044
2007-06-14,1515.579956,1526.449951,1515.579956,1522.969971,2813630000,1522.969971
2007-06-15,1522.969971,1538.709961,1522.969971,1532.910034,3406030000,1532.910034
2007-06-18,1532.900024,1535.439941,1529.310059,1531.050049,2480240000,1531.050049
2007-06-19,1531.02002,1535.849976,1525.670044,1533.699951,2873590000,1533.699951
2007-06-20,1533.680054,1537.319946,1512.359985,1512.839966,3286900000,1512.839966
2007-06-21,1512.5,1522.900024,1504.75,1522.189941,3161110000,1522.189941
2007-06-22,1522.189941,1522.189941,1500.73999,1502.560059,4284320000,1502.560059
2007-06-25,1502.560059,1514.290039,1492.680054,1497.73999,3287250000,1497.73999
2007-06-26,1497.680054,1506.119995,1490.540039,1492.890015,3398530000,1492.890015
2007-06-27,1492.619995,1506.800049,1484.180054,1506.339966,3398150000,1506.339966
2007-06-28,1506.319946,1514.839966,1503.410034,1505.709961,3006710000,1505.709961
2007-06-29,1505.699951,1517.530029,1493.609985,1503.349976,3165410000,1503.349976
